train_id,brake_pad_wear_pct,door_cycles,hvac_pressure_psi,traction_motor_temp_c,mileage_km,days_since_ibl,past_30d_delays,past_30d_faults,brake_risk,door_risk,hvac_risk,traction_risk,next_day_failure_prob,failure_event
KM-107,72.79,76629,58.43,93.04,176313.0,32,2,0,0.6299,0.9375,0.3108,0.6584,0.6487,1
KM-108,14.37,69836,46.25,84.16,46682.0,162,6,0,0.3206,0.8156,0.993,0.4047,0.5957,1
KM-118,6.17,17032,47.28,46.59,36751.2,36,4,1,0.2038,0.1782,0.763,0.0,0.2685,1
KM-120,61.17,79757,67.08,66.77,155686.9,99,2,1,0.4742,1.0,0.1485,0.0,0.4457,0
KM-117,48.63,28856,49.4,77.5,115858.7,103,0,1,0.2365,0.2966,0.7784,0.2142,0.3554,1
KM-113,67.21,75532,40.64,99.86,25606.4,100,1,0,0.5017,0.9174,1.0,0.8531,0.7756,0
KM-112,23.58,41809,44.9,60.82,51637.2,168,1,1,0.1056,0.4578,1.0,0.0,0.3514,0
KM-121,39.48,37397,41.64,54.98,134155.9,51,0,1,0.1559,0.3996,1.0,0.0,0.3545,0
KM-111,37.01,25762,50.4,78.98,88308.8,111,1,1,0.187,0.2627,0.7505,0.2567,0.3326,0
KM-119,58.56,16850,69.62,102.31,32067.6,154,1,0,0.3929,0.0967,0.231,0.9233,0.3925,0
KM-111,58.85,14350,42.66,49.67,5409.4,179,1,0,0.3963,0.076,1.0,0.0,0.3577,1
KM-117,17.31,50481,64.17,76.28,20173.4,80,5,0,0.28,0.5013,0.1532,0.1794,0.2898,0
KM-115,67.39,28935,64.7,100.51,36600.7,86,1,1,0.5041,0.2975,0.1412,0.8719,0.4534,0
KM-118,42.96,7737,66.08,48.29,84650.1,103,0,1,0.1845,0.1101,0.1545,0.0,0.123,0
KM-102,84.65,3983,55.44,69.27,105174.9,120,2,2,0.8166,0.1711,0.5626,0.0,0.4411,1
KM-123,46.57,67081,40.74,97.48,97564.0,160,1,0,0.2669,0.7678,1.0,0.7852,0.6424,1
KM-117,41.17,74972,56.79,79.85,52545.2,121,2,1,0.2695,0.9872,0.5098,0.2813,0.4994,1
KM-114,31.73,35801,50.37,59.02,12366.3,73,0,0,0.1007,0.2994,0.6947,0.0,0.249,1
KM-105,75.77,38573,74.38,98.05,110139.7,62,1,1,0.6241,0.4148,0.093,0.8015,0.501,0
KM-122,59.7,35157,48.07,55.59,43585.1,3,3,1,0.5064,0.3713,0.6816,0.0,0.4064,0
KM-110,51.37,26425,64.36,54.23,147770.8,13,1,1,0.3139,0.2698,0.0451,0.0,0.1863,1
KM-109,40.21,44642,44.53,98.32,172239.0,76,0,0,0.1616,0.4169,0.9327,0.8093,0.5092,0
KM-111,12.83,26559,48.84,45.3,126750.0,176,1,0,0.0665,0.1913,0.9103,0.0,0.2531,0
KM-105,94.23,10516,56.82,80.54,149319.2,56,4,1,1.0,0.1277,0.4112,0.3013,0.5244,1
KM-116,68.75,34130,48.35,100.81,23521.0,155,1,2,0.5227,0.4387,0.8983,0.8802,0.6483,0
KM-110,78.8,78236,66.02,54.65,148144.2,77,1,0,0.6709,0.9671,0.1155,0.0,0.4997,0
KM-117,55.39,32966,53.18,45.54,148268.9,70,1,0,0.3568,0.2645,0.5776,0.0,0.3065,0
KM-115,88.88,6084,67.61,55.43,139899.5,68,1,0,0.84,0.021,0.102,0.0,0.3196,0
KM-101,10.21,77919,41.6,97.29,175360.6,29,2,0,0.1104,0.9612,0.9795,0.7798,0.6308,1
KM-101,34.12,28082,63.92,71.75,52884.7,29,1,2,0.1665,0.368,0.0869,0.0501,0.1777,0
KM-102,74.55,53307,62.91,61.4,171401.1,92,5,0,0.8058,0.5439,0.2217,0.0,0.4624,0
KM-106,25.7,2980,47.01,97.09,130111.7,18,3,3,0.216,0.2472,0.7465,0.7739,0.4415,0
KM-103,76.71,39827,41.14,100.25,112913.8,46,1,1,0.6385,0.4313,1.0,0.8643,0.7041,1
KM-109,23.05,75744,45.63,84.09,62037.0,130,2,0,0.1531,0.9213,0.9698,0.4026,0.5584,1
KM-118,48.19,63046,65.27,84.42,137485.4,102,3,0,0.3823,0.6996,0.153,0.412,0.4217,0
KM-115,49.9,49787,52.11,91.55,169716.6,97,1,0,0.299,0.491,0.6611,0.6157,0.4827,1
KM-120,37.2,53326,44.65,79.05,125656.4,143,0,0,0.1384,0.5442,1.0,0.2586,0.4362,1
KM-111,16.18,50786,41.11,101.17,14095.0,160,3,2,0.1762,0.6658,1.0,0.8906,0.6062,0
KM-116,54.28,28961,67.43,73.85,12132.0,106,2,1,0.3947,0.2978,0.159,0.1101,0.2664,0
KM-119,92.83,53579,66.05,97.31,80889.7,32,2,0,0.9617,0.5481,0.048,0.7803,0.6393,0
KM-109,49.39,61315,46.98,85.81,17634.7,97,1,1,0.294,0.751,0.8661,0.4518,0.5542,0
KM-105,36.13,26963,66.87,75.29,100077.6,179,2,1,0.2306,0.2757,0.2685,0.1512,0.2335,0
KM-106,63.95,30426,60.73,99.74,41865.9,18,2,2,0.509,0.3945,0.1977,0.8498,0.4863,1
KM-114,51.14,27916,69.9,74.54,48265.4,60,2,1,0.3615,0.2861,0.09,0.1296,0.242,0
KM-125,92.25,68649,70.03,45.54,107972.2,164,2,0,0.951,0.7949,0.246,0.0,0.5808,1
KM-110,45.39,77619,69.01,70.85,48525.0,171,2,0,0.306,0.9557,0.2565,0.0244,0.4022,0
KM-115,64.74,10847,68.2,80.12,156947.5,108,1,1,0.4692,0.1299,0.162,0.2892,0.2869,0
KM-101,15.99,77260,72.69,63.97,93766.1,12,0,2,0.0256,1.0,0.018,0.0,0.2625,0
KM-118,92.58,16398,55.92,75.94,90548.2,172,1,0,0.9071,0.0928,0.6214,0.1696,0.4989,1
KM-118,23.17,5470,45.68,56.3,132895.2,157,2,3,0.1537,0.2579,1.0,0.0,0.3183,0
KM-117,79.78,66838,59.97,46.82,167916.0,46,5,0,0.8865,0.7637,0.2701,0.0,0.5552,1
KM-106,33.63,61576,54.24,97.25,141917.5,77,1,3,0.1631,0.9153,0.5458,0.7784,0.5508,0
KM-113,76.8,26426,70.41,67.54,56952.1,89,1,1,0.6399,0.2699,0.1335,0.0,0.3181,0
KM-125,58.68,9927,53.06,58.64,17809.3,99,0,2,0.3444,0.2037,0.6259,0.0,0.2966,0
KM-108,51.72,32348,68.48,51.54,31073.6,48,2,2,0.3675,0.4171,0.072,0.0,0.2473,0
KM-113,79.02,65106,40.26,83.85,162155.3,25,2,1,0.7243,0.8142,1.0,0.3957,0.7362,1
KM-104,28.11,37378,72.54,76.94,106663.1,106,2,0,0.179,0.3194,0.159,0.1982,0.2139,1
KM-111,16.09,45139,46.35,76.51,129083.1,56,1,1,0.0759,0.5038,0.83,0.186,0.3557,1
KM-122,54.52,72031,58.43,51.74,5452.2,150,2,0,0.3972,0.8544,0.4879,0.0,0.4502,0
KM-125,80.59,72831,52.37,59.21,141592.0,50,5,0,0.8994,0.8686,0.5802,0.0,0.648,1
KM-117,71.32,18633,56.55,77.12,36228.0,37,2,0,0.6086,0.1124,0.3935,0.2035,0.3605,0
KM-125,49.71,18727,44.78,86.71,75755.8,118,2,0,0.3471,0.1133,0.986,0.4774,0.4425,0
KM-104,70.19,77329,71.69,91.36,51356.7,97,2,0,0.5927,0.9503,0.1455,0.6102,0.5962,0
KM-113,51.72,70249,63.44,49.2,117029.4,8,3,0,0.4174,0.8229,0.0746,0.0,0.3667,0
KM-123,39.06,59576,74.84,71.78,63374.7,150,2,1,0.2526,0.7226,0.225,0.0509,0.3242,0
KM-125,78.96,69619,52.17,84.89,144203.7,144,1,1,0.6735,0.8918,0.7294,0.4256,0.6897,0
KM-124,53.6,14395,61.83,50.35,137172.3,161,2,0,0.3873,0.0763,0.3685,0.0,0.2283,1
KM-123,28.68,36585,72.79,78.23,58466.8,151,2,2,0.1823,0.4693,0.2265,0.2351,0.2734,0
KM-112,88.75,13329,58.89,82.68,123003.2,158,1,0,0.8377,0.068,0.4814,0.3622,0.4789,0
KM-115,41.27,7721,45.38,58.42,172531.5,10,1,2,0.2203,0.19,0.7997,0.0,0.2845,0
KM-122,79.64,12138,73.35,94.51,121603.7,136,2,0,0.7343,0.0591,0.204,0.7003,0.4526,0
KM-113,89.28,29179,55.38,51.34,117144.6,93,0,1,0.7971,0.3003,0.5242,0.0,0.4589,0
KM-105,75.27,56677,74.82,48.47,126631.2,83,0,0,0.5665,0.5963,0.1245,0.0,0.3723,0
KM-114,14.09,24291,61.63,82.99,45056.6,101,1,1,0.0699,0.2473,0.2862,0.3712,0.2178,0
KM-105,84.79,72229,62.89,66.25,96963.3,14,0,0,0.719,0.8579,0.1053,0.0,0.4872,0
KM-123,42.45,7548,40.67,60.59,138050.7,58,0,1,0.1802,0.109,1.0,0.0,0.2903,0
KM-113,92.83,48076,73.59,74.27,24203.8,139,2,1,0.9617,0.5459,0.2085,0.122,0.5392,0
KM-118,47.84,15056,61.49,96.57,73668.9,42,3,1,0.3789,0.1616,0.2033,0.7593,0.3655,0
KM-110,88.73,29671,71.56,72.69,116510.3,34,1,0,0.8373,0.2259,0.051,0.0768,0.3751,0
KM-123,51.66,48684,65.81,75.73,124039.9,77,0,2,0.2668,0.6347,0.1155,0.1638,0.3079,1
KM-117,91.09,45857,56.17,104.5,174881.2,135,2,2,0.9297,0.594,0.5558,0.9856,0.7821,1
KM-115,12.4,24888,50.34,91.15,114316.1,178,0,0,0.0154,0.1735,0.8534,0.6044,0.3403,0
KM-109,62.95,62558,41.47,103.11,144775.0,140,1,1,0.4463,0.7715,1.0,0.946,0.7383,0
KM-102,16.53,46838,43.88,80.91,21627.0,59,1,0,0.0773,0.448,0.9334,0.3118,0.3881,0
KM-120,15.94,65946,71.04,83.75,55033.7,32,2,1,0.1254,0.8284,0.048,0.3928,0.3392,0
KM-108,72.34,56533,67.18,84.37,36050.0,86,1,1,0.5733,0.674,0.129,0.4106,0.4771,1
KM-121,70.34,25858,73.78,74.3,31368.3,44,3,0,0.6447,0.1838,0.066,0.123,0.3094,0
KM-107,56.95,10496,66.64,54.6,85772.6,144,3,0,0.4743,0.0475,0.216,0.0,0.2211,0
KM-102,23.36,4081,65.98,93.91,112621.2,66,2,0,0.1546,0.0115,0.099,0.6831,0.2134,0
KM-122,79.94,64437,47.09,102.48,69389.6,75,3,0,0.7891,0.7229,0.829,0.9281,0.8083,1
KM-104,69.99,67549,60.76,68.49,77208.8,103,0,1,0.4898,0.8559,0.3242,0.0,0.4503,0
KM-120,41.21,69099,57.85,88.4,23224.0,55,1,1,0.2198,0.8827,0.3683,0.5258,0.4765,0
KM-119,49.84,6997,45.21,86.72,135536.9,58,3,0,0.3984,0.0259,0.8784,0.4779,0.4172,0
KM-123,26.23,2651,42.19,93.08,139153.0,57,3,1,0.2188,0.086,0.9979,0.6595,0.4296,0
KM-114,72.25,15472,73.26,57.18,103971.2,138,1,0,0.572,0.0851,0.207,0.0,0.2629,0
KM-113,67.79,24284,41.96,96.16,44469.7,69,1,1,0.5096,0.2472,1.0,0.7475,0.5897,0
KM-106,61.81,30309,65.48,74.79,81448.9,57,0,0,0.382,0.2332,0.0855,0.1368,0.2365,0
KM-112,17.18,8710,72.29,73.32,7345.5,152,0,0,0.0295,0.0359,0.228,0.095,0.0839,0
KM-103,29.81,74997,48.73,61.32,137894.7,106,2,1,0.1888,0.9877,0.8096,0.0,0.4749,0
KM-111,17.53,48299,51.03,91.31,20124.3,143,0,2,0.0307,0.6291,0.7732,0.6089,0.4445,0
KM-110,79.51,23669,65.58,103.88,49892.8,131,1,0,0.6822,0.1609,0.1965,0.9679,0.5119,0
KM-121,59.77,7588,43.99,54.07,44430.5,71,3,0,0.5072,0.0292,0.9468,0.0,0.3742,0
KM-107,68.71,68169,42.86,72.5,89821.9,85,0,1,0.472,0.8666,1.0,0.0714,0.5961,1
KM-116,42.06,13924,66.22,62.44,142719.8,38,2,1,0.2769,0.1526,0.057,0.0,0.1465,0
KM-120,54.04,10283,66.49,76.16,40854.2,79,2,1,0.392,0.1261,0.1185,0.1761,0.2276,0
KM-102,10.87,14565,52.03,61.95,73377.5,6,1,0,0.0618,0.0777,0.5279,0.0,0.1466,0
KM-105,91.8,3551,46.54,50.64,67417.4,41,3,2,0.9928,0.1694,0.8001,0.0,0.5498,0
KM-112,19.94,38711,70.0,99.37,53458.3,40,2,0,0.1398,0.3366,0.06,0.8391,0.3129,0
KM-116,18.69,68843,67.95,103.07,154952.9,137,3,2,0.1849,0.9583,0.2055,0.9447,0.5343,1
KM-106,93.18,27170,45.68,45.76,102957.2,97,0,1,0.8683,0.2779,0.9184,0.0,0.557,0
KM-103,21.87,50416,68.67,77.45,129292.5,172,3,0,0.1978,0.5003,0.258,0.2128,0.2885,0
KM-112,35.17,70615,64.92,94.56,22611.6,163,0,0,0.1237,0.8293,0.2477,0.7017,0.4405,0
KM-111,63.6,77975,60.2,89.28,146084.3,94,2,1,0.5045,1.0,0.3329,0.551,0.6034,0
KM-115,20.74,39547,47.95,95.22,53873.3,67,2,0,0.143,0.3476,0.7824,0.7206,0.4376,1
KM-121,41.75,9179,72.84,97.27,139061.3,99,0,3,0.1743,0.2789,0.1485,0.7792,0.3163,1
KM-102,45.23,3597,47.94,67.9,27548.5,147,1,0,0.2546,0.0095,0.9031,0.0,0.2721,1
KM-124,7.45,35518,44.46,87.46,175235.9,131,2,2,0.1055,0.4558,1.0,0.4989,0.4507,0
KM-119,83.55,5493,47.65,52.21,16959.7,30,0,1,0.698,0.098,0.7392,0.0,0.4166,0
KM-121,31.75,72363,42.26,97.63,158520.8,125,2,0,0.2008,0.8603,1.0,0.7896,0.6433,1
KM-117,30.68,60659,60.4,104.73,154746.8,149,0,2,0.0941,0.8202,0.4076,0.9922,0.5179,1
KM-109,65.23,10168,42.26,102.35,9399.8,87,1,0,0.4755,0.0453,1.0,0.9243,0.5626,0
KM-109,35.67,15567,73.18,71.71,143040.4,179,1,0,0.1773,0.0858,0.2685,0.049,0.147,0
KM-113,92.37,47571,73.27,81.04,135128.9,1,1,1,0.9032,0.5385,0.0015,0.3154,0.5141,1
KM-106,9.11,41583,48.36,73.18,83831.4,109,1,1,0.0583,0.4547,0.8291,0.0908,0.3181,0
KM-113,53.33,44056,40.27,58.14,11426.2,124,1,0,0.3344,0.4087,1.0,0.0,0.4192,1
KM-110,31.41,51952,68.58,62.07,148186.2,21,1,1,0.1487,0.6033,0.0315,0.0,0.2092,0
KM-119,45.55,60518,49.62,68.67,78819.9,76,2,1,0.3075,0.7379,0.7294,0.0,0.438,0
KM-105,5.14,79682,40.07,88.05,150177.8,177,2,0,0.1026,0.994,1.0,0.5158,0.5876,0
KM-118,13.31,35542,54.66,90.07,17426.3,122,2,1,0.1177,0.3761,0.5965,0.5734,0.3692,0
KM-113,5.91,79033,44.86,51.94,32006.3,3,1,1,0.0535,1.0,0.8101,0.0,0.4307,0
KM-108,78.8,29669,58.64,71.93,19768.7,101,0,1,0.621,0.3058,0.406,0.0552,0.386,0
KM-125,11.06,11516,64.24,70.8,122769.2,119,3,0,0.1622,0.0546,0.209,0.0227,0.1168,0
KM-112,87.5,69670,43.46,98.38,7154.2,57,0,0,0.7656,0.8127,0.9471,0.8108,0.8227,0
KM-102,20.02,77708,62.6,47.69,138333.7,47,0,0,0.0401,0.9573,0.1665,0.0,0.2867,0
KM-103,35.65,12738,54.34,63.67,123496.1,69,3,0,0.2771,0.0635,0.53,0.0,0.2189,0
KM-118,48.7,43359,74.21,76.91,28763.1,154,0,0,0.2372,0.399,0.231,0.1976,0.2685,0
KM-110,40.59,19693,66.47,72.51,55617.8,122,0,1,0.1647,0.2021,0.183,0.0718,0.1591,0
KM-104,94.54,7344,74.44,62.3,173198.7,145,1,1,0.9437,0.1078,0.2175,0.0,0.4008,0
KM-102,20.15,6498,69.35,66.37,149692.6,109,0,0,0.0406,0.0231,0.1635,0.0,0.0527,0
KM-112,26.15,1138,59.52,65.84,106581.8,24,1,1,0.1184,0.0817,0.2552,0.0,0.1129,0
KM-103,84.23,75965,59.93,82.24,40229.6,85,0,3,0.7094,1.0,0.3304,0.3497,0.6343,0
KM-102,69.99,2708,56.05,47.28,135525.5,5,1,2,0.5399,0.1662,0.3656,0.0,0.3037,0
KM-116,13.43,57115,70.22,80.32,70682.7,102,2,2,0.118,0.7632,0.153,0.295,0.3217,0
KM-121,93.27,22083,68.96,90.87,105367.6,109,2,0,0.9699,0.145,0.1635,0.5963,0.5277,0
KM-101,85.38,41510,70.92,71.9,94325.7,31,3,2,0.8789,0.5338,0.0465,0.0543,0.4612,0
KM-112,77.4,53887,65.66,76.71,143844.0,163,3,0,0.7491,0.5528,0.2445,0.1918,0.4877,0
KM-125,61.96,43727,72.8,94.32,146607.1,1,2,1,0.4839,0.4841,0.0015,0.6947,0.4296,0
KM-106,32.55,25322,62.12,79.62,127107.3,45,2,0,0.206,0.1781,0.1826,0.2749,0.2081,0
KM-110,26.8,47092,63.34,57.67,156095.1,136,1,0,0.1218,0.4516,0.2704,0.0,0.2096,1
KM-107,47.88,68904,59.21,58.16,10892.1,147,2,1,0.3292,0.8793,0.4519,0.0,0.4255,0
KM-110,78.93,2589,42.51,85.96,47338.0,156,1,0,0.673,0.0058,1.0,0.4559,0.5282,0
KM-104,17.86,72126,65.22,69.09,32759.2,34,0,1,0.0319,0.9361,0.051,0.0,0.2554,0
KM-115,14.25,59608,57.89,47.81,53329.7,38,3,1,0.1703,0.7232,0.3414,0.0,0.3087,0
KM-125,37.42,33402,59.77,96.99,105066.6,82,3,1,0.29,0.3498,0.332,0.7712,0.4096,0
KM-101,88.72,45760,64.63,45.26,34216.8,149,1,0,0.837,0.4326,0.2381,0.0,0.4487,1
KM-104,68.23,76357,49.41,73.52,116009.5,37,0,0,0.4655,0.9325,0.6789,0.1007,0.552,0
KM-109,47.84,68055,47.31,67.12,69717.3,124,1,1,0.2788,0.8646,0.8936,0.0,0.4925,0
KM-109,64.16,35773,47.55,85.67,111356.6,162,2,2,0.5117,0.459,0.941,0.4477,0.5716,0
KM-122,22.93,75083,42.99,47.58,121701.7,49,0,1,0.0526,0.9892,0.954,0.0,0.4565,0
KM-114,26.77,19199,69.34,87.56,171048.0,163,1,1,0.1217,0.1976,0.2445,0.5018,0.2412,1
KM-111,83.99,2401,58.17,85.65,59576.2,156,1,0,0.7554,0.0052,0.5074,0.4472,0.4566,0
KM-122,6.53,72354,53.39,67.06,36804.4,135,0,0,0.0043,0.8601,0.6669,0.0,0.3499,0
KM-107,36.33,21093,59.97,79.09,121026.3,135,4,0,0.332,0.1354,0.4036,0.2596,0.2827,0
KM-104,85.95,3204,48.63,74.04,135802.8,172,0,4,0.7388,0.328,0.9128,0.1156,0.5462,0
KM-122,37.91,39458,65.4,82.18,161813.1,25,2,2,0.2437,0.5064,0.0375,0.3481,0.289,0
